Id,Title,PublishedAt,Views,Likes,Dislikes,Comments
"U55qHxUFLR8","ENCONTRO DE ALUNAS DO TEAM ANGELA BORGES",2025-10-24 13:37,"742","72",,"9"
"wOyQD8t57Vg","TREINO DE GLÚTEOS E QUADRÍCEPS PARA FICAR NO SHAPE",2025-10-29 12:01,"9506","953",,"24"
"GTAOUoC3E8A","VOCÊ VAI FICAR COM O BUMBUM NA LUA DEPOIS DESSE TREINO",2025-10-31 09:00,"8812","822",,"43"
"Oevuje5p7XY","JASON ESTAVA ERRADO NA SUA ANÁLISE DO MR OLYMPIA",2025-11-04 12:00,"1116","107",,"4"
"3LCjNvnhXrA","Como você inspira as pessoas a sua volta?",2025-11-06 12:00,"1871","58",,"0"
"fGrI4FOKE4I","QUAIS OS MELHORES ""SUCOS"" PARA DEFINIÇÃO - ANGELA RESPONDE #31",2025-11-06 12:01,"1485","187",,"27"
"oT5XmCiTtAs","Ideias de looks para sexta e final de semana!",2025-11-07 12:01,"3104","76",,"6"
"V31CFRUNL6s","Só assim você vai crescer!",2025-11-08 12:00,"2447","95",,"2"
"_ixzD-2AP3k","Detalhes que fazem diferença no seu look",2025-11-09 12:00,"1945","71",,"3"
"qN3ziaw8E4E","no que você é boa?",2025-11-10 12:01,"4395","105",,"0"
"fMwmr78MGi8","#gymmotivation #gymrat #academia #legday",2025-11-11 12:01,"3023","124",,"0"
"N49WAzzNYVk","O MELHOR TREINO DE POSTERIOR ISOLADO DO MUNDO",2025-11-12 13:00,"3723","393",,"18"
"dHRfMiEqIrU","Amandinha Rodrigues é um fenômeno",2025-11-12 12:01,"1541","80",,"1"
"ifoWXUAJAmc","Só você sabe da sua história",2025-11-13 12:01,"3490","67",,"0"
"Xc4r70aB1KQ","SE EU TOMAR CERVEJA, VOU PERDER O SHAPE? - ANGELA RESPONDE #31",2025-11-14 14:01,"463","66",,"8"
"sf5LyNtu_6M","Ninguém pode me parar",2025-11-14 12:01,"2238","118",,"7"
"aeqF6eqiO2k","Seja Luz!",2025-11-15 12:00,"3379","145",,"7"
"Ou8pIoRUr6s","esse o superpoder de toda a mulher",2025-11-16 12:00,"3905","167",,"6"
"1KqWxaD9L4o","O TREINO SECRETO PARA EVOLUIR RÁPIDO",2025-11-17 12:00,"2644","231",,"17"
"3qwRNKNhEm0","Pré ativação dos glúteos",2025-11-17 12:00,"3093","92",,"0"
"bZwJHTVIUlM","#acdemia salva vidas",2025-11-18 00:00,"3607","132",,"2"
"8c1SaBOGPgA","Como fazer a elevação pélvica",2025-11-19 12:00,"2246","78",,"1"
"ZdS6Sf-J0bU","COMO TIRAR MOTIVAÇÃO PRA TREINAR - ANGELA RESPONDE #32",2025-11-20 12:01,"259","42",,"1"
"kC-jFfj8AXQ","Ande com pessoas que te obriguem a crescer",2025-11-20 12:01,"761","16",,"1"
