Id,Title,PublishedAt,Views,Likes,Dislikes,Comments
"JuBpL7Fdgls","Suco de laranja atrapalha a hipertrofia #shorts",2025-10-22 13:00,"14291","1197",,"24"
"tr8TQBtoy-4","Como Emagrecer Sem Sofrimento",2025-10-22 13:30,"9294","1075",,"34"
"Ly2TWj9wYCA","Quanto tempo depois de comer vou treinar? #shorts",2025-10-23 13:00,"15139","1145",,"26"
"BNqVP_fIJCw","Recomposição corporal: 11 dúvidas de vocês",2025-10-24 16:35,"4528","533",,"10"
"PNH5r4_4jCo","Treino de glúteos para intermediários",2025-10-24 19:00,"3676","462",,"19"
"mRQtnPKvQ7Q","10 técnicas para manter massa muscular no cutting",2025-10-24 16:36,"0","28",,"0"
"sJN9YTvWGSs","Como as fases do sono são e como nos afetam",2025-10-23 22:34,"5559","734",,"35"
"zhlWU8JUMqI","Mel é açúcar também #shorts",2025-10-24 13:02,"22511","1465",,"45"
"-pNPkYstf4A","Queima de gordura localizada em mulheres | Mitos e verdades",2025-10-25 13:00,"6511","825",,"23"
"OEwXTKte9as","Quantos ovos comer por dia? #shorts",2025-10-26 12:00,"18425","1579",,"35"
"ZMenSwZyK5M","Sobre DHEA... #shorts",2025-10-26 15:07,"12795","864",,"5"
"xDU4vpNg7us","Ciclo de Deposteron por 8 semanas | efeitos, resultados e colaterais",2025-10-26 12:01,"4225","398",,"27"
"jItFl9gmRfo","7 Esteroides Mais Seguros Que Conhecemos Para Homens e Mulheres",2025-10-27 18:01,"27244","2156",,"202"
"lW6UBb6BSDw","A verdade da água com gás #shorts",2025-10-27 12:01,"31807","2563",,"51"
"MkypS37NJ-0","12 Refeições pra Ganhar Massa Natural",2025-10-28 18:00,"8999","1135",,"59"
"yq9PyT_kYE0","Fisiculturismo não é esporte #shorts",2025-10-28 12:02,"47755","3416",,"420"
"Tz9P6C1fz1g","9 Maneiras de Usar Creatina para Resultados Rápidos",2025-10-29 19:32,"5338","680",,"29"
"X5lF2g_yBmw","Como melhorar a gastrite #shorts",2025-10-29 13:40,"19932","1701",,"14"
"g-j9t_02LL0","11 dicas para crescer peito rápido",2025-10-30 18:00,"8646","984",,"27"
"jGgHx7xIkZc","Sobre revezar aparelhos #shorts",2025-10-30 12:01,"22061","1662",,"128"
"JiB0fQgCAJs","Primeiro vídeo de fisiculturismo da história #shorts",2025-10-31 12:00,"25718","2482",,"27"
