Id,Title,PublishedAt,Views,Likes,Dislikes,Comments
"VDo0O-rLd9s","Paulo Muzy Responde! #974",2025-10-22 08:59,"4138","388",,"16"
"GFVZmTAn2mg","Paulo Muzy Responde! #975",2025-10-23 09:22,"4371","408",,"10"
"dXJ3pn3O1vc","O Pacote Completo para Vencer a Menopausa: Hormônio, Dieta e Treino | Muzy Explica",2025-10-23 17:00,"15779","2608",,"124"
"fgXHZKfieBA","Treinar e Fazer Dieta no Climatério: O Guia para Mulheres e Profissionais | Muzy Explica",2025-10-24 17:00,"42387","4773",,"146"
"GLMKOPzQ_Rs","Paulo Muzy Responde! #976",2025-10-27 07:38,"3398","348",,"13"
"J8AgACJWtlg","PERCENTUAL DE GORDURA ENGANA!",2025-10-27 12:00,"14571","1117",,"5"
"MBhHW07TY1g","10 Minutos de Aeróbico Podem Mudar Seu Treino (e Seus Resultados) | Muzy Explica",2025-10-28 16:00,"19124","1664",,"28"
"Umv_N5WsPlE","ONDE O CARDIO E O TREINO EMAGRECEM?!",2025-10-28 12:00,"17482","1129",,"8"
"ma7QMHzgSNw","Paulo Muzy Responde! #977",2025-10-28 08:11,"3914","400",,"19"
"1zu6Ti2FEXM","Paulo Muzy Responde! #978",2025-10-29 08:14,"3782","387",,"13"
"Mgn4elGgc9Q","COMO USAR O EXERCÍCIO NO EMAGRECIMENTO?",2025-10-29 12:00,"9652","619",,"10"
"2oJpEATN_8c","A Verdade Nua e Crua Sobre as Novas Canetas Emagrecedoras | Muzy Explica",2025-10-30 16:00,"54148","3240",,"78"
"SbN1CmmQqBo","PERDA ÓSSEA COM OZEMPIC",2025-10-30 12:00,"9295","785",,"3"
"vfcCL6yuA80","Paulo Muzy Responde! #979",2025-10-30 08:11,"4076","390",,"15"
"Y9PTUCUnefs","Jejum e Longevidade: Desfazendo o Mito (O que Realmente Funciona) | Muzy Explica",2025-10-31 16:00,"26806","2315",,"70"
"O_NrdJSV86c","ESTRATÉGIAS para EMAGRECER RÁPIDO! | Muzy Explica",2025-11-04 16:00,"35818","3083",,"63"
"KQFePYNalsE","A Ligação Secreta entre Lipedema, Chip da Beleza e Menopausa | Muzy Explica",2025-11-06 16:00,"4623","577",,"21"
"kNx4nUHtAtQ","A CIÊNCIA do EXERCÍCIO EM JEJUM! | Muzy Explica",2025-11-07 16:01,"42929","2787",,"112"
"zEiXUBDwSO8","DICAS PARA QUEM TRABALHA A NOITE",2025-11-08 17:29,"18186","702",,"4"
"kVm-aCLmvVs","MUZY NÃO SE AGUENTOU KKKKK",2025-11-09 12:01,"29424","1563",,"56"
"Ssdmr1D9Mp4","SIMPLES ASSIM",2025-11-10 12:00,"15562","783",,"19"
"WFpwYSN1IKg","Paulo Muzy Responde! #980",2025-11-10 07:53,"4384","375",,"11"
"zIMOpiqS2kg","Melatonina Antes do Treino Aumenta o GH?! Mito ou Verdade? | Muzy Explica",2025-11-10 16:00,"4123","362",,"11"
"6dMrxOSmwuk","O CHAT PERDEU O GLÚTEO POR AÍ KKKKK",2025-11-11 12:00,"8301","311",,"11"
"DE_QA832xKI","POSSO USAR MOUNJARO POR 1 MÊS?!",2025-11-12 12:00,"20013","623",,"12"
"NrpP2nRrZNw","Reposição Hormonal: Quando Começar? (E o Risco de Ignorar os Sinais)  | Muzy Explica",2025-11-12 12:00,"8642","914",,"21"
"tUhRE74WaEY","CALOR NO PÉ PODE SER O QUE?",2025-11-13 12:01,"6564","302",,"5"
"6EyWpfRw_Mg","DIETA IRREGULAR TE ENGORDA",2025-11-14 12:00,"9087","462",,"5"
"M5t9X77pV8c","O Mito de ""Passar Vontade"" na Gravidez (e por que ele não vale mais) | Muzy Explica",2025-11-14 16:00,"2258","261",,"19"
"JD69-knidL4","TIRAR CALORIA BASTA?",2025-11-17 12:00,"15174","647",,"21"
"M3BrgFyHXh8","Muzy manda A REAL sobre ""ERRAR NA DIETA"" | Muzy Explica",2025-11-18 17:00,"5276","588",,"14"
"YiRCb9cdbIU","USE O JEJUM COMO FERRAMENTA",2025-11-18 12:01,"11478","474",,"6"
"1hLW_8m6GHA","CALVÍCIE PRECOCE: O QUE FAZER?",2025-11-19 12:00,"8311","361",,"3"
"bANX3rZB8DM","Vou Parar de Fazer Lives? A Verdade Sobre o Futuro do Canal",2025-11-19 16:00,"2233","290",,"14"
"uT5gEkQyZYI","QUASE M☠RR1 FAZENDO ISSO!",2025-11-20 12:02,"8486","384",,"0"
