Id,Title,PublishedAt,Views,Likes,Dislikes,Comments
"BB3HNUN4W0w","Bubble Gut do Nick Walker!",2025-10-22 18:37,"162478","7903",,"156"
"suvhtl-rUoE","Pantera conquistou o PRO CARD... mas será que vale o hype?",2025-10-23 19:04,"114741","13783",,"255"
"tgALbEdggOo","O MR. OLYMPIA QUASE MORREU! A VERDADE SOBRE OS DIURÉTICOS E O PREÇO DO FISICULTURISMO!",2025-10-26 18:39,"120792","9917",,"451"
"WzRDO4okb6g","Transformação!",2025-10-29 13:04,"480341","24613",,"862"
"2XZ_vFvzBdg","É assim kkk",2025-11-10 12:20,"350117","8382",,"322"
"PWLiVeKNfQU","Dieta!",2025-11-11 17:35,"333374","28156",,"477"
"PYeyRCwXXUU","CBUM falou o que pensa!",2025-11-11 12:43,"146810","9782",,"194"
"X_K4qHlI00k","Ossos!",2025-11-11 10:27,"76923","3651",,"77"
"H5-aXCnTSSQ","Goes Reage - Os piores conselhos de Nutrição do TikTok!",2025-11-13 12:00,"148036","16424",,"920"
"DuBdhOq_5VY","Transformação!",2025-11-14 12:29,"219821","14459",,"359"
"Li0Gr32FpE8","Tiktokers do suco 🥤",2025-11-16 13:33,"665656","29967",,"695"
"nyTL47ix3bU","Goes Reage aos TikToks do SUCO!",2025-11-16 11:04,"108882","10896",,"411"
"WPW2Hz50mNo","BRASIL NÃO É NATURAL?  Campeonato WNBF!",2025-11-20 18:18,"11616","1425",,"57"
