Id,Title,PublishedAt,Views,Likes,Dislikes,Comments
"LrilmFw5mlw","Solução pra gordura nos braços",2025-10-22 19:58,"116738","6955",,"60"
"fTolHEmbwl0","24 de outubro de 2025",2025-10-24 11:35,"22050","1233",,"58"
"pokOF_uRAtA","PANICATS ANTES DOS ANABOLIZANTES? Como era o corpo delas antes.",2025-10-23 20:14,"54998","5261",,"529"
"_9gsBRO2aKk","Acabe com a gordura na parte interna",2025-10-25 20:09,"91171","6779",,"78"
"vpw0essLB8E","Esse treino vai definir o seu quadríceps em 20 min🔥",2025-10-27 19:28,"104747","7424",,"56"
"Xw8-_BYZkAw","SEU CORPO DESTRÓI GORDURA se você fizer essas 3 COISAS!",2025-10-28 18:45,"165871","19359",,"365"
"SrbvXer4hnE","QUAL DESSES VOCÊ JÁ FEZ OU FAZ? 🫢",2025-10-29 19:21,"129741","11868",,"143"
"lsSjcLrQE8I","6 coisas que uma MULHER NATURAL NÃO PODE FAZER antes do treino",2025-10-29 18:45,"18434","2480",,"78"
"gYwaIB-AZqw","MINHA ROTINA MATINAL de treino, alimentação e trabalho.",2025-10-30 19:01,"49539","3604",,"190"
"5mpSKDn1D5A","Será mesmo que você precisa sentir sempre aquela dor pós treino? Veja o vídeo completo 😉👊🏽",2025-10-31 10:33,"59364","4030",,"54"
"G7RFIXHdGQU","Nunca faça isso na puxada na máquina",2025-11-01 09:59,"457228","16537",,"204"
"1xOn4NWZZTU","🧅 CONSTRUA OMBROS DE CEBOLA❤️ Já salva essa série pra fazer depois e desenhar os seus ombros.",2025-11-02 10:29,"96322","6793",,"143"
"AnSfK6cfBH0","Essa é a pior estratégia❌",2025-11-03 19:46,"39565","2152",,"31"
"yuhiRo-n9Uo","NUNCA MAIS precise do BÚLGARO pra empinar o glúteo",2025-11-04 18:56,"54186","6621",,"228"
"Sx27M0sMNq0","3 SÉRIES para ganhar músculo em PERNA E GLÚTEO",2025-11-05 18:45,"68958","8729",,"171"
"X5IQ8xlsMRk","7 exercícios que eu NUNCA passaria para uma mulher!",2025-11-06 19:07,"69934","6065",,"288"
"Azg62h6fGsU","Classificando exercícios de coxa de 1 a 10",2025-11-07 10:05,"214592","8640",,"116"
"RNyMfp38-qc","Assim você aumenta a carga",2025-11-09 17:41,"67506","4912",,"65"
"Hp-oHYts0zE","Meu treino de glúteo completo",2025-11-10 19:25,"163911","13370",,"173"
"52DrBlglL7M","Como AUMENTAR os HORMÔNIOS naturalmente e diminuir CORTISOL",2025-11-11 18:45,"26622","3193",,"102"
"GPTBJKPwHOU","O meu treino de hoje na praia🏝️💪🏽🔥",2025-11-12 19:30,"36657","3001",,"160"
"Ip4MuVjOmAs","DESAFIO para ENDURECER AS PERNAS | Tay Training",2025-11-13 18:45,"49445","4924",,"137"
"-pKx_sb_ovU","AULA 01 - COMO DEIXAR SUAS PERNAS TORNEADAS MUITO RÁPIDO",2025-11-14 13:33,"0","1039",,"0"
"JfsKxyEmNVw","AULA 04 - TEMA SURPRESA + SORTEIO",2025-11-14 14:04,"0","16",,"0"
"XS1eGNtI3To","AULA 03 - O MELHOR EXERCÍCIO PARA CADA PARTE DO SEU GLÚTEO",2025-11-14 13:57,"0","33",,"0"
"vF5dicgNPoc","AULA 02 - COMO PERDER A POCHETE E TER O ABDÔMEN DEFINIDO",2025-11-14 13:28,"0","61",,"0"
"7RA3ijL638I","Episódio de Pedrita treinando na praia 😛💪🏽",2025-11-15 11:00,"53604","2931",,"43"
"8VsUcufaH4M","Qual cardio vocês costumam fazer?",2025-11-16 18:29,"118119","3653",,"134"
"xCNgFoFtBys","❤️Já salva pra aprender a fazer o sumô corretamente✅Comente: TURBINADA🔥",2025-11-17 19:09,"197494","16323",,"137"
"1YnudVDS62Q","TREINO SECRETO para PERNAS MUSCULOSAS E FEMININAS",2025-11-18 19:00,"19730","2668",,"115"
"lYzwz_CpuuU","🙆🏻‍♀️ A diferença de… ALONGAMENTO X MOBILIDADE",2025-11-19 19:13,"70459","6902",,"92"
"4NHeSNpYWQA","Treino para QUEIMAR GORDURA até o fim do ano",2025-11-20 19:00,"4239","1052",,"38"
